,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
12,H Klaasen (SA),2018-2019,14,13,2,251,59,22.81,291,86.25,0,1,1,
13,JJ Atkinson (HKG),2008-2017,9,9,0,250,59,27.77,398,62.81,0,1,0,
14,JAH Marshall (NZ),2005-2008,10,10,0,250,161,25.0,313,79.87,1,1,2,
15,CT Radley (ENG),1978-1978,4,4,1,250,117*,83.33,367,68.11,1,1,0,
16,AR Caddick (ENG),1993-2003,54,38,18,249,36,12.45,395,63.03,0,0,6,
17,GF Labrooy (SL),1986-1992,44,36,7,249,33,8.58,350,71.14,0,0,6,
18,JD Campbell (WI),2019-2019,6,5,0,248,179,49.6,214,115.88,1,0,0,
19,JM Parker (NZ),1974-1981,24,20,0,248,66,12.4,403,61.53,0,1,1,
20,RB Reid (NZ),1988-1991,9,9,0,248,64,27.55,448,55.35,0,2,0,
21,RH Vance (NZ),1988-1989,8,8,0,248,96,31.0,481,51.55,0,1,0,
22,MA Suji (KENYA),1996-2006,64,52,22,247,16*,8.23,526,46.95,0,0,9,
23,A Turner (AUS),1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0,
24,K Doriga (PNG),2017-2019,14,13,2,246,89*,22.36,388,63.4,0,1,1,
25,AD Mascarenhas (ENG),2007-2009,20,13,2,245,52,22.27,257,95.33,0,1,2,
26,SM Davies (ENG),2009-2011,8,8,0,244,87,30.5,231,105.62,0,1,1,
27,JP Kotze (NAM),2019-2019,5,5,0,244,136,48.8,267,91.38,1,0,0,
28,RAS Lakmal (SL),2009-2019,85,48,22,244,26,9.38,404,60.39,0,0,9,
29,Qaiser Ali (CAN),2006-2008,17,17,1,244,70,15.25,383,63.7,0,2,3,
30,RP Burl (ZIM),2017-2019,18,15,3,243,53,20.25,357,68.06,0,1,1,
31,BP Patel (INDIA),1974-1979,10,9,1,243,82,30.37,399,60.9,0,1,0,
32,PR Downton (ENG),1977-1988,28,20,5,242,44*,16.13,358,67.59,0,0,2,
33,Hasan Raza (PAK),1996-1999,16,13,0,242,77,18.61,480,50.41,0,1,1,
34,MJ Di Venuto (AUS),1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0,
35,GD Drummond (SCOT),2007-2013,30,20,7,240,35*,18.46,262,91.6,0,0,2,
36,DK Lillee (AUS),1972-1983,63,34,8,240,42*,9.23,320,75.0,0,0,6,
37,CM Wright (SCOT),2006-2009,20,18,3,240,37,16.0,351,68.37,0,0,2,
38,Amjad Javed (UAE),2008-2017,15,13,1,239,56,19.91,267,89.51,0,1,1,
39,CRD Fernando (Asia/SL),2001-2012,147,61,35,239,20,9.19,392,60.96,0,0,9,
40,J Garner (WI),1977-1987,98,41,15,239,37,9.19,360,66.38,0,0,5,
41,T Panyangara (ZIM),2004-2016,65,49,13,239,33,6.63,463,51.61,0,0,9,
42,KJ Arnott (ZIM),1987-1993,13,12,2,238,60,23.8,491,48.47,0,3,0,
43,DC Thomas (WI),2009-2013,21,19,2,238,37,14.0,364,65.38,0,0,3,
44,NS Poonia (SCOT),2006-2009,21,21,0,237,67,11.28,377,62.86,0,1,7,
45,Enamul Haque (BDESH),1990-2002,29,26,5,236,32,11.23,479,49.26,0,0,1,
46,GJ Hopkins (NZ),2004-2010,25,17,1,236,45,14.75,311,75.88,0,0,3,
47,LM Jongwe (ZIM),2014-2016,22,19,3,236,46,14.75,303,77.88,0,0,2,
48,Khurram Manzoor (PAK),2008-2009,7,7,0,236,83,33.71,375,62.93,0,3,1,
49,GR Codrington (CAN),2006-2007,17,15,3,235,45*,19.58,372,63.17,0,0,1,
0,JP Crawley (ENG),1994-1999,13,12,1,235,73,21.36,408,57.59,0,2,2,
1,P Khadka (NEPAL),2018-2019,6,6,0,235,115,39.16,286,82.16,1,1,0,
2,PJ Cummins (AUS),2011-2019,58,35,12,234,36,10.17,328,71.34,0,0,5,
3,Iftikhar Anjum (PAK),2004-2010,62,34,19,234,32,15.6,378,61.9,0,0,4,
4,Ikram Alikhil (AFG),2019-2019,12,12,3,234,86,26.0,386,60.62,0,2,0,
5,P Mustard (ENG),2007-2008,10,10,0,233,83,23.3,252,92.46,0,1,0,
6,AME Roberts (WI),1975-1983,56,32,9,231,37*,10.04,357,64.7,0,0,3,
7,STR Binny (INDIA),2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1,
8,TM Chappell (AUS),1980-1983,20,13,0,229,110,17.61,365,62.73,1,0,2,
9,SHU Karnain (SL),1984-1990,19,17,5,229,41*,19.08,386,59.32,0,0,2,
10,TM Dowlin (WI),2009-2010,11,11,2,228,100*,25.33,348,65.51,1,1,2,
11,DR Flynn (NZ),2008-2012,20,17,2,228,35,15.2,360,63.33,0,0,3,
12,AY Karim (KENYA),1996-2003,34,24,6,228,53,12.66,375,60.8,0,1,5,
13,SR Thompson (IRE),2013-2017,20,15,1,228,39,16.28,251,90.83,0,0,0,
14,M Dillon (WI),1997-2005,108,51,20,227,21*,7.32,411,55.23,0,0,9,
15,AMJ Hilditch (AUS),1979-1985,8,8,0,226,72,28.25,476,47.47,0,1,0,
16,Raza-ur-Rehman (CAN),2013-2014,6,5,0,225,88,45.0,262,85.87,0,3,1,
17,BP Julian (AUS),1993-1999,25,17,0,224,35,13.17,250,89.6,0,0,4,
18,KR Stackpole (AUS),1971-1974,6,6,0,224,61,37.33,387,57.88,0,3,0,
19,JH Edrich (ENG),1971-1975,7,6,0,223,90,37.16,325,68.61,0,2,0,
20,V Shankar (INDIA),2019-2019,12,8,1,223,46,31.85,246,90.65,0,0,0,
21,KM Jarvis (ZIM),2009-2019,49,33,10,222,37,9.65,337,65.87,0,0,4,
22,Aqib Ilyas (OMAN),2019-2019,5,5,0,221,63,44.2,282,78.36,0,2,0,
23,BKV Prasad (INDIA),1994-2001,161,63,31,221,19,6.9,367,60.21,0,0,8,
24,Sarfraz Nawaz (PAK),1973-1984,45,31,8,221,34*,9.6,345,64.05,0,0,5,
25,Wasim Bari (PAK),1973-1984,51,26,13,221,34,17.0,431,51.27,0,0,0,
26,HS Baidwan (CAN),2008-2014,32,22,7,220,33,14.66,339,64.89,0,0,3,
27,DR Lockhart (SCOT),2006-2010,14,11,2,218,46,24.22,341,63.92,0,0,1,
28,Y Venugopal Rao (INDIA),2005-2006,16,11,2,218,61*,24.22,363,60.05,0,1,2,
29,NR Kumar (CAN),2010-2014,16,15,1,217,38,15.5,397,54.65,0,0,1,
30,FA Rose (WI),1997-2000,27,23,5,217,30,12.05,265,81.88,0,0,2,
31,EO Simons (SA),1994-1995,23,18,4,217,24,15.5,295,73.55,0,0,1,
32,V Dahiya (INDIA),2000-2001,19,15,2,216,51,16.61,267,80.89,0,1,2,
33,WK Lees (NZ),1979-1983,31,24,5,215,26,11.31,307,70.03,0,0,1,
34,NO Perry (WI),1999-2000,21,16,8,212,52*,26.5,340,62.35,0,1,2,
35,FRJ Coleman (SCOT),2013-2015,16,14,0,211,70,15.07,344,61.33,0,1,2,
36,MJ Henry (NZ),2014-2019,52,21,7,211,48*,15.07,211,100.0,0,0,3,
37,KS Lokuarachchi (SL),2003-2007,21,18,3,210,69,14.0,262,80.15,0,1,2,
38,CPH Ramanayake (SL),1986-1995,62,35,14,210,26,10.0,374,56.14,0,0,7,
39,Tahir Naqqash (PAK),1980-1985,40,23,9,210,61,15.0,242,86.77,0,1,4,
40,Mushtaq Mohammad (PAK),1973-1978,10,9,3,209,55,34.83,353,59.2,0,1,0,
41,MHW Papps (NZ),2004-2005,6,6,2,207,92*,51.75,342,60.52,0,2,0,
42,DL Bairstow (ENG),1979-1984,21,20,6,206,23*,14.71,390,52.82,0,0,1,
43,AR Berenger (UAE),2014-2015,10,10,0,205,66,20.5,304,67.43,0,2,0,
44,PE McEwan (NZ),1980-1985,17,15,0,204,41,13.6,346,58.95,0,0,0,
45,JA Rennie (ZIM),1993-2000,44,27,12,201,27,13.4,391,51.4,0,0,6,
46,APE Knott (ENG),1971-1977,20,14,4,200,50,20.0,247,80.97,0,1,2,
47,NW Bracken (AUS),2001-2009,116,35,18,199,21*,11.7,282,70.56,0,0,5,
48,AJ Burger (NAM),2003-2003,6,6,0,199,85,33.16,198,100.5,0,1,0,
49,Mohammad Nawaz (3) (PAK),2016-2019,15,12,3,199,53,22.11,213,93.42,0,1,0,
0,Moin-ul-Atiq (PAK),1988-1989,5,5,0,199,105,39.8,279,71.32,1,0,0,
1,M Ntini (ICC/SA),1998-2009,173,47,24,199,42*,8.65,298,66.77,0,0,9,
2,Ijaz Faqih (PAK),1980-1988,27,19,3,197,42*,12.31,351,56.12,0,0,4,
3,GA Lamb (ZIM),2010-2011,15,14,3,197,37,17.9,381,51.7,0,0,1,
4,MR Swart (NL),2011-2014,12,11,1,197,52,19.7,272,72.42,0,1,1,
5,T Maruma (ZIM),2007-2019,21,18,1,196,35,11.52,330,59.39,0,0,1,
6,AP Devcich (NZ),2013-2016,12,11,0,195,58,17.72,253,77.07,0,1,2,
7,GSNFG Jayasuriya (SL),2015-2019,12,10,1,195,96,21.66,273,71.42,0,1,2,
8,ASA Perera (SL),1998-2001,20,13,2,195,56*,17.72,257,75.87,0,1,1,
9,Akram Raza (PAK),1989-1995,49,25,14,193,33*,17.54,310,62.25,0,0,4,
10,PJ Ingram (NZ),2010-2010,8,7,0,193,69,27.57,238,81.09,0,1,0,
11,C Pringle (NZ),1990-1995,64,41,19,193,34*,8.77,256,75.39,0,0,3,
12,V Rathour (INDIA),1996-1997,7,7,0,193,54,27.57,331,58.3,0,2,0,
13,Simi Singh (IRE),2017-2019,15,14,1,193,45,14.84,332,58.13,0,0,1,
14,MM Iqbal (SCOT),2009-2014,13,12,4,192,63,24.0,360,53.33,0,1,2,
15,CJ Smith (BMUDA),2006-2007,12,12,0,192,52,16.0,245,78.36,0,1,3,
16,Abid Ali (PAK),2019-2019,4,4,0,191,112,47.75,196,97.44,1,1,1,
17,DAG Fletcher (ZIM),1983-1983,6,6,2,191,71*,47.75,289,66.08,0,2,0,
18,TN Madondo (ZIM),1998-2001,13,13,1,191,71,15.91,331,57.7,0,1,2,
19,Mohammad Boota (UAE),2018-2019,9,9,1,191,59*,23.87,252,75.79,0,1,0,
20,Shabir Noori (AFG),2010-2016,10,10,0,191,94,19.1,300,63.66,0,1,2,
21,CJ McKay (AUS),2009-2014,59,31,10,190,30,9.04,337,56.37,0,0,3,
22,Mohammad Shahzad (UAE),2014-2016,6,6,0,190,79,31.66,225,84.44,0,2,2,
23,Usman Limbada (CAN),2010-2014,11,11,1,189,50,18.9,284,66.54,0,1,1,
24,BAW Mendis (SL),2008-2015,87,42,19,188,21*,8.17,263,71.48,0,0,10,
25,TJ Murtagh (IRE),2012-2019,58,36,12,188,23*,7.83,298,63.08,0,0,7,
26,T Mupariwa (ZIM),2004-2016,40,32,10,185,33,8.4,325,56.92,0,0,9,
27,SW Poynter (IRE),2014-2019,21,19,5,185,36,13.21,278,66.54,0,0,2,
28,EAE Baptiste (WI),1983-1990,43,16,4,184,31,15.33,241,76.34,0,0,0,
29,JL Ontong (Afr/SA),2001-2012,28,16,2,184,32,13.14,267,68.91,0,0,1,
30,Saadat Ali (PAK),1984-1984,8,7,1,184,78*,30.66,341,53.95,0,1,0,
31,Sohag Gazi (BDESH),2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0,
32,SI de Saram (SL),1999-2001,15,13,2,183,38,16.63,270,67.77,0,0,0,
33,SJ Benn (WI),2008-2016,47,30,7,182,31,7.91,240,75.83,0,0,5,
34,SR Taylor (USA),2019-2019,9,9,0,182,56,20.22,265,68.67,0,1,2,
35,AR Patel (INDIA),2014-2017,38,20,6,181,38,12.92,190,95.26,0,0,3,
36,JR Thomson (AUS),1975-1985,50,30,6,181,21,7.54,280,64.64,0,0,5,
37,SB Bangar (INDIA),2002-2004,15,15,2,180,57*,13.84,239,75.31,0,1,3,
38,DG Cork (ENG),1992-2002,32,21,3,180,31*,10.0,271,66.42,0,0,4,
39,WF Stelling (NL),2006-2007,15,11,5,180,44,30.0,272,66.17,0,0,1,
40,B Warnapura (SL),1975-1982,12,12,0,180,77,15.0,415,43.37,0,1,1,
41,Mazhar Hussain (UAE),1994-1996,7,7,0,179,70,25.57,334,53.59,0,1,0,
42,DM Richards (WI),2009-2010,8,7,0,179,59,25.57,251,71.31,0,2,0,
43,TK Curran (ENG),2017-2019,17,11,7,178,47*,44.5,166,107.22,0,0,2,
44,SC Khanna (INDIA),1979-1984,10,10,2,176,56,22.0,265,66.41,0,2,1,
45,TC Bastiampillai (CAN),2007-2014,13,13,0,175,49,13.46,301,58.13,0,0,2,
46,BR Blair (NZ),1982-1986,14,14,2,174,29*,14.5,253,68.77,0,0,2,
47,GC Dyer (AUS),1986-1988,23,13,2,174,45*,15.81,227,76.65,0,0,1,
48,MD Moxon (ENG),1985-1988,8,8,0,174,70,21.75,325,53.53,0,1,1,
49,GRJ Roope (ENG),1973-1978,8,8,0,173,44,21.62,342,50.58,0,0,1,
0,SB Doull (NZ),1992-2000,42,27,13,172,22,12.28,188,91.48,0,0,2,
1,Hasibul Hossain (BDESH),1995-2004,32,26,6,172,21*,8.6,247,69.63,0,0,3,
2,BN Cooper (NL),2013-2019,8,6,0,171,74,28.5,184,92.93,0,1,0,
3,RP Lefebvre (NL),1996-2003,11,11,5,171,45,28.5,280,61.07,0,0,0,
4,DK Morrison (NZ),1987-1996,96,43,24,171,20*,9.0,400,42.75,0,0,7,
5,I Udana (SL),2012-2019,15,12,2,171,78,17.1,181,94.47,0,1,1,
6,D Bau (PNG),2016-2017,10,10,1,170,46,18.88,319,53.29,0,0,2,
7,PS de Villiers (SA),1992-1997,83,36,15,170,20*,8.09,218,77.98,0,0,7,
8,SW Masakadza (ZIM),2010-2014,16,11,3,170,45*,21.25,177,96.04,0,0,1,
9,CJ Jordan (ENG),2013-2016,31,21,7,169,38*,12.07,188,89.89,0,0,3,
10,J Smits (NL),2003-2009,38,19,9,169,29*,16.9,360,46.94,0,0,2,
11,RA Jones (NZ),2003-2003,5,5,0,168,63,33.6,329,51.06,0,1,0,
12,AF Milne (NZ),2012-2017,40,17,7,168,36,16.8,165,101.81,0,0,2,
13,CP Rizwan (UAE),2019-2019,7,6,0,168,47,28.0,325,51.69,0,0,1,
14,AR Whittall (ZIM),1996-2000,63,35,13,168,29,7.63,310,54.19,0,0,6,
15,RS Gabriel (WI),1984-1984,11,11,0,167,41,15.18,360,46.38,0,0,2,
16,JE Morris (ENG),1990-1991,8,8,1,167,63*,23.85,225,74.22,0,1,0,
17,Haroon Rasheed (PAK),1977-1982,12,10,2,166,63*,20.75,316,52.53,0,1,0,
18,A McGrath (ENG),2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1,
19,DES Maxwell (CAN),2006-2007,10,10,4,166,59,27.66,238,69.74,0,1,1,
20,TL Chatara (ZIM),2013-2019,70,45,20,165,23,6.6,336,49.1,0,0,8,
21,Khurram Chohan (CAN),2009-2014,25,19,6,165,35*,12.69,285,57.89,0,0,2,
22,JF Kloppenburg (NL),2002-2003,6,6,0,165,121,27.5,265,62.26,1,0,1,
23,MJ Lumb (ENG),2014-2014,3,3,0,165,106,55.0,203,81.28,1,0,0,
24,JA McCollum (IRE),2019-2019,8,8,0,165,73,20.62,240,68.75,0,2,1,
25,GAHM Parkar (INDIA),1982-1984,10,10,1,165,42,18.33,332,49.69,0,0,0,
26,D Bishoo (WI),2011-2019,42,25,10,164,29*,10.93,263,62.35,0,0,8,
27,RB Kanhai (WI),1973-1975,7,5,2,164,55,54.66,273,60.07,0,2,0,
28,RR Powar (INDIA),2004-2007,31,19,5,163,54,11.64,260,62.69,0,1,0,
29,JC Tredwell (ENG),2010-2015,45,25,11,163,30,11.64,242,67.35,0,0,3,
30,Faheem Ashraf (PAK),2017-2019,23,15,2,162,28,12.46,195,83.07,0,0,2,
31,MV Nagamootoo (WI),2000-2002,24,18,6,162,33,13.5,270,60.0,0,0,1,
32,JTC Vaughan (NZ),1992-1996,18,16,7,162,33,18.0,261,62.06,0,0,0,
33,T Bavuma (SA),2016-2017,2,2,0,161,113,80.5,170,94.7,1,0,0,
34,CD Cumming (NZ),2003-2009,13,13,1,161,45*,13.41,301,53.48,0,0,3,
35,SKL de Silva (SL),1997-1997,11,6,3,161,57,53.66,193,83.41,0,2,0,
36,SC Joseph (WI),2000-2005,13,11,1,161,58,16.1,302,53.31,0,1,2,
37,KMA Paul (WI),2018-2019,16,11,3,161,46,20.12,194,82.98,0,0,1,
38,E Schiferli (NL),2002-2013,30,22,6,161,41,10.06,218,73.85,0,0,4,
39,HMCM Bandara (SL),2006-2010,31,17,4,160,31,12.3,224,71.42,0,0,3,
40,PE Cantrell (NL),1996-1996,5,5,0,160,47,32.0,307,52.11,0,0,0,
41,MS Chapman (HKG/NZ),2015-2018,5,5,1,160,124*,40.0,174,91.95,1,0,1,
42,JL Langer (AUS),1994-1997,8,7,2,160,36,32.0,180,88.88,0,0,0,
43,K Weeraratne (SL),2000-2008,15,9,1,160,41,20.0,177,90.39,0,0,0,
44,Saleem Raza (UAE),1994-1996,6,6,0,159,84,26.5,173,91.9,0,1,0,
45,AC Bedade (INDIA),1994-1994,13,10,3,158,51,22.57,183,86.33,0,1,0,
46,DAJ Bracewell (NZ),2011-2019,19,12,2,158,57,15.8,214,73.83,0,1,1,
47,JJ Martin (INDIA),1999-2001,10,8,1,158,39,22.57,331,47.73,0,0,1,
48,Imran Tahir (SA),2011-2019,107,36,16,157,29,7.85,225,69.77,0,0,6,
49,MP Maynard (ENG),1994-2000,14,12,1,156,41,14.18,225,69.33,0,0,1,
0,IJ Gould (ENG),1983-1983,18,14,2,155,42,12.91,243,63.78,0,0,2,
1,PM Seelaar (NL),2006-2019,41,24,10,155,34*,11.07,244,63.52,0,0,5,
2,TA Boult (NZ),2012-2019,89,39,23,154,21*,9.62,209,73.68,0,0,1,
3,GJ Cosier (AUS),1975-1979,9,7,2,154,84,30.8,166,92.77,0,1,1,
4,AM Ellis (NZ),2012-2013,15,12,1,154,33,14.0,184,83.69,0,0,1,
5,Mohammad Hussain (PAK),1997-1998,14,12,7,154,31*,30.8,136,113.23,0,0,0,
6,CJ Richards (ENG),1981-1988,22,16,3,154,50,11.84,264,58.33,0,1,3,
7,RML Taylor (SCOT),2013-2016,15,14,3,154,46*,14.0,172,89.53,0,0,1,
8,C Zhuwao (ZIM),2008-2018,9,9,0,154,45,17.11,132,116.66,0,0,3,
9,CPS Chauhan (INDIA),1978-1981,7,7,0,153,46,21.85,301,50.83,0,0,0,
10,AN Ranasinghe (SL),1975-1982,9,8,1,153,51,21.85,147,104.08,0,1,2,
11,DW Fleming (AUS),1994-2001,88,31,18,152,29,11.69,221,68.77,0,0,5,
12,MDK Perera (SL),2007-2018,13,12,0,152,30,12.66,199,76.38,0,0,0,
13,AJ Redmond (NZ),2009-2010,6,6,0,152,52,25.33,259,58.68,0,1,0,
14,MW Alleyne (ENG),1999-2000,10,8,1,151,53,21.57,255,59.21,0,1,0,
15,J Anderson (IRE),2014-2016,8,8,0,151,39,18.87,267,56.55,0,0,0,
16,RS Gavaskar (INDIA),2004-2004,11,10,2,151,54,18.87,234,64.52,0,1,0,
17,BF Hastings (NZ),1973-1975,11,9,1,151,37,18.87,271,55.71,0,0,1,
18,VD Philander (SA),2007-2015,30,19,7,151,30*,12.58,213,70.89,0,0,3,
19,RG Aga (KENYA),2004-2014,12,9,0,150,86,16.66,209,71.77,0,1,1,
20,BB Chari (ZIM),2015-2019,11,11,0,150,39,13.63,332,45.18,0,0,0,
21,NA Foster (ENG),1984-1989,48,25,12,150,24,11.53,244,61.47,0,0,3,
22,GD Barlow (ENG),1976-1977,6,6,1,149,80*,29.8,255,58.43,0,1,2,
23,AR Khurasiya (INDIA),1999-2001,12,11,0,149,57,13.54,188,79.25,0,1,1,
24,Khalid Latif (PAK),2008-2010,5,5,0,147,64,29.4,228,64.47,0,1,1,
25,Nazimuddin (BDESH),2008-2012,11,11,0,147,47,13.36,237,62.02,0,0,0,
26,GM Strydom (ZIM),2006-2006,12,10,0,147,58,14.7,225,65.33,0,1,2,
27,MRJ Watt (SCOT),2016-2019,27,17,7,147,31*,14.7,202,72.77,0,0,0,
28,D Williams (WI),1988-1997,36,23,7,147,32*,9.18,242,60.74,0,0,4,
29,JA Burns (AUS),2015-2015,6,6,0,146,69,24.33,184,79.34,0,1,1,
30,SE Findlay (WI),2008-2009,9,8,1,146,59*,20.85,194,75.25,0,1,0,
31,Sompal Kami (NEPAL),2018-2019,6,6,2,146,61,36.5,164,89.02,0,1,1,
32,MP O'Dowd (NL),2019-2019,2,2,1,145,86*,145.0,200,72.5,0,2,0,
33,AC Agar (AUS),2015-2018,9,8,1,144,46,20.57,166,86.74,0,0,2,
34,R Clarke (ENG),2003-2006,20,13,0,144,39,11.07,232,62.06,0,0,2,
35,DK Liyanage (SL),1992-2001,16,11,2,144,43,16.0,207,69.56,0,0,0,
36,LN Onyango (KENYA),1996-2014,29,18,7,144,34*,13.09,188,76.59,0,0,2,
37,G Malla (NEPAL),2018-2019,6,6,0,143,51,23.83,189,75.66,0,1,1,
38,Abdur Rehman (PAK),2006-2014,31,23,6,142,31,8.35,263,53.99,0,0,4,
39,CM Kuggeleijn (NZ),1988-1989,16,11,2,142,40,15.77,223,63.67,0,0,1,
40,D Langford-Smith (IRE),2006-2008,22,17,8,142,31*,15.77,133,106.76,0,0,2,
41,MB Loye (ENG),2007-2007,7,7,0,142,45,20.28,184,77.17,0,0,1,
42,K Zondo (SA),2018-2018,5,5,1,142,54,35.5,224,63.39,0,1,0,
43,DE Bernard (WI),2003-2010,20,12,2,141,38,14.1,219,64.38,0,0,1,
44,ARC Fraser (ENG),1989-1999,42,20,9,141,38*,12.81,208,67.78,0,0,1,
45,OD Gibson (WI),1995-1997,15,11,1,141,52,14.1,138,102.17,0,1,1,
46,CR Matthews (SA),1991-1997,56,22,9,141,26,10.84,202,69.8,0,0,3,
47,A Nehra (Asia/INDIA),2001-2011,120,46,21,141,24,5.64,246,57.31,0,0,9,
48,Shahid Saeed (PAK),1989-1993,10,10,0,141,50,14.1,316,44.62,0,1,0,
49,VJ Wells (ENG),1999-1999,9,7,0,141,39,20.14,253,55.73,0,0,0,
0,AF Buurman (NL),2007-2011,17,11,2,140,34,15.55,179,78.21,0,0,2,
1,HMRKB Herath (SL),2004-2015,71,30,15,140,17*,9.33,217,64.51,0,0,3,
2,Rubel Hossain (BDESH),2009-2019,101,52,24,140,17,5.0,249,56.22,0,0,11,
3,JM Wiener (AUS),1979-1980,7,7,0,140,50,20.0,324,43.2,0,1,0,
4,MV Fleming (ENG),1997-1998,11,10,1,139,33,15.44,137,101.45,0,0,1,
5,KH MacLeay (AUS),1983-1987,16,13,2,139,41,12.63,170,81.76,0,0,0,
6,EAR de Silva (SL),1986-1992,28,20,6,138,19*,9.85,241,57.26,0,0,2,
7,GN Edwards (NZ),1976-1981,6,6,0,138,41,23.0,191,72.25,0,0,1,
8,KA Hope (WI),2017-2017,7,6,0,138,46,23.0,192,71.87,0,0,0,
9,S Samarawickrama (SL),2017-2019,7,7,0,138,54,19.71,165,83.63,0,1,2,
10,RJ Bailey (ENG),1985-1990,4,4,2,137,43*,68.5,196,69.89,0,0,0,
11,RM Hogg (AUS),1979-1985,71,35,20,137,22,9.13,217,63.13,0,0,2,
12,APB Tennekoon (SL),1975-1979,4,4,0,137,59,34.25,207,66.18,0,1,1,
13,ST Finn (ENG),2011-2017,69,30,13,136,35,8.0,223,60.98,0,0,7,
14,G Miller (ENG),1977-1984,25,18,2,136,46,8.5,265,51.32,0,0,3,
15,Mohammed Shami (INDIA),2013-2019,73,34,16,136,25,7.55,164,82.92,0,0,5,
16,LG Rowe (WI),1975-1980,11,8,0,136,60,17.0,244,55.73,0,1,0,
17,KD Shah (HKG),2014-2018,10,10,1,136,34*,15.11,238,57.14,0,0,2,
18,R Vijay Bharadwaj (INDIA),1999-2002,10,9,4,136,41*,27.2,194,70.1,0,0,1,
19,SRD Wettimuny (SL),1975-1979,3,3,1,136,67,68.0,242,56.19,0,2,0,
20,D Pretorius (SA),2016-2019,22,10,1,135,50,15.0,145,93.1,0,1,1,
21,PA Browne (WI),2008-2008,5,5,1,134,49*,33.5,179,74.86,0,0,0,
22,TS Chisoro (ZIM),2015-2018,18,15,6,134,42*,14.88,218,61.46,0,0,2,
23,Krishna Chandran (UAE),2014-2016,12,10,2,134,43,16.75,274,48.9,0,0,3,
24,Arshad Khan (PAK),1993-2006,58,29,18,133,20,12.09,217,61.29,0,0,5,
25,MD Bell (NZ),1998-2001,7,7,0,133,66,19.0,268,49.62,0,1,0,
26,RJ Sidebottom (ENG),2001-2010,25,18,8,133,24,13.3,194,68.55,0,0,2,
27,RK Chauhan (INDIA),1993-1997,35,18,5,132,32,10.15,171,77.19,0,0,4,
28,D Keulder (NAM),2003-2003,6,6,0,132,52,22.0,220,60.0,0,1,1,
29,Bazid Khan (PAK),2004-2008,5,5,0,131,66,26.2,232,56.46,0,2,1,
30,MSK Prasad (INDIA),1998-1999,17,11,2,131,63,14.55,225,58.22,0,1,2,
31,Sajid Ali (PAK),1984-1997,13,12,0,130,28,10.83,293,44.36,0,0,0,
32,RW Taylor (ENG),1973-1984,27,17,7,130,26*,13.0,312,41.66,0,0,2,
33,RJ Trott (BMUDA),2007-2009,11,10,4,130,48*,21.66,249,52.2,0,0,1,
34,TJ Zoehrer (AUS),1986-1994,22,15,3,130,50,10.83,183,71.03,0,1,2,
35,KTGD Prasad (SL),2006-2015,24,12,6,129,31*,21.5,146,88.35,0,0,1,
36,Shafiul Islam (BDESH),2010-2019,59,33,11,129,24*,5.86,235,54.89,0,0,9,
37,BOP Fernando (SL),2019-2019,6,6,0,128,49,21.33,203,63.05,0,0,1,
38,FC Hayes (ENG),1973-1975,6,6,1,128,52,25.6,235,54.46,0,1,0,
39,Khawar Ali (OMAN),2019-2019,5,5,1,128,79*,32.0,256,50.0,0,1,0,
40,DT Hondo (ZIM),2001-2005,56,29,12,127,17,7.47,249,51.0,0,0,4,
41,TE Jesty (ENG),1983-1983,10,10,4,127,52*,21.16,182,69.78,0,1,2,
42,A Nel (SA),2001-2008,79,22,12,127,30*,12.7,166,76.5,0,0,2,
43,Yasir Shah (PAK),2011-2019,25,13,6,127,32*,18.14,149,85.23,0,0,2,
44,SJ Baard (NAM),2019-2019,5,5,0,126,73,25.2,199,63.31,0,1,1,
45,Basil Hameed (UAE),2019-2019,3,3,1,126,63*,63.0,177,71.18,0,1,0,
46,Dhiman Ghosh (BDESH),2008-2008,14,12,3,126,30,14.0,201,62.68,0,0,3,
47,MG Erasmus (NAM),2019-2019,5,5,0,126,88,25.2,169,74.55,0,1,1,
48,M Kartik (INDIA),2002-2007,37,14,5,126,32*,14.0,178,70.78,0,0,1,
49,TRO Payne (WI),1984-1987,7,4,0,126,60,31.5,240,52.5,0,1,0,
0,CP Senanayake (SL),1990-1991,7,7,0,126,27,18.0,211,59.71,0,0,1,
1,PA Jaques (AUS),2006-2007,6,6,0,125,94,20.83,176,71.02,0,1,1,
2,MC Sorensen (IRE),2013-2016,13,8,2,125,31,20.83,155,80.64,0,0,0,
3,AJ Turner (AUS),2019-2019,3,3,1,125,84*,62.5,86,145.34,0,1,0,
4,AIC Dodemaide (AUS),1988-1993,24,16,7,124,30,13.77,159,77.98,0,0,1,
5,ZE Green (NAM),2019-2019,5,5,0,124,41,24.8,182,68.13,0,0,0,
6,A Maregwede (ZIM),2003-2005,11,11,1,124,37,12.4,218,56.88,0,0,1,
7,JA Samarasekera (UAE),1994-1996,7,6,2,124,47*,31.0,215,57.67,0,0,0,
8,M van Jaarsveld (SA),2002-2004,11,7,1,124,45,20.66,169,73.37,0,0,1,
