Negative 	 Enna da ellam avan seyal  Mari iruku
Negative 	 film is very bad ......i dont like it
Positive 	 Hit Like If you Like 3.0`s role in 2.0 movie
Positive 	 Yaarellam padam paatha aprom trailer paakura
Mixed_feelings 	 Vithule soru ilena paravale.pilenge school padikathiyum paravale..ana..actor pi 2 manggu vangi tinnulenah pundengeleke thukomo savo varathu phuikkk
Negative 	 Ethu aellam numbura mathriya eruku. Pommai paddam pola. Sakthiman 2
Positive 	 Tribute to 2.0 Support us #2.0 #shankar sir #Rajani sir
Positive 	 Movie vera level  pride of tamil cinema
Positive 	 2.0  3d ah ...? Yes or no ...?
Positive 	 Thalaivar padam velli villa kaana valthukkal by THALA VERIYAN VENKAT
Negative 	 Rajnikanth fuck Hindi bitch aksey kumar
Positive 	 2.O kandippa 2750 crores kku mela collect pannum
Negative 	 #2Point0 FDFS Ticket book panavanga like pannunga
Negative 	 bruh this shit looks like a lame ass game
Positive 	 , next 2.1 version varum, wait pannikite irunge,
Positive 	 ciyaan  vikram i love  you
Positive 	 Yaaru rajinikanth fan o oru like podunga
Positive 	 Rajini mass and Shankar veral level
Positive 	 PROUD TO BE TAMILIAN  TAMILIANS POWER IN THE MOVIE
Positive 	 Endhira logathu sundariye video song kettu vanthu trailer partha vanga like podunga
Positive 	 2.o- tamil cinema milestone if u agree like
Negative 	 Romba mokka padamah irukuh. 2.0 flop.
Mixed_feelings 	 Rajni sir & Akshay sir
Positive 	 Malaysia lehhh 3D plsss release pannungoooo..........
Positive 	 Pakka mass thalaiva, sema ponga super star pinitaru ponga A.R.rahuman's music super trailer everyone must watch ...
Positive 	 sarkar trailer 33 m views Tamil
Positive 	 Ithuku mella vfx betteraa panna chance aa illa mass vfx
Negative 	 Intha padam rajini nalaye nasamaga pothu...
Positive 	 Guys plse do support ithu namma tamil padam
Positive 	 Omalla mass u da ! Gethu da !
Positive 	 Yaru ellam thalaivar padhathuku marana waiting.........
Positive 	 Guyz support #2.0 India's pride
Positive 	 Always super star mass thalivaa naa unga kuda eppoma irupan
Positive 	 A one day will be Hollywood defeated by Bollywood
Positive 	 See clear last seen vasikaran is Akshay kumar
unknown_state 	 Why is akshay kumar a crow????
Positive 	 I am waiting.  Shankar sir
Negative 	 Nitha cinema u da malayalam dubbing e laya
Positive 	 After making video of Super Star avatars........ Anyone...
Positive 	 1 Number  SuperStar Rajinikant Sir Shankar Sir
not-Tamil 	 Agr akshay hero nhi to film me mja nhi ayga
not-Tamil 	 Aap is film ko kinte star denge mein to 5 star aur aap
Negative 	 A R RAHMAN dum dum dum...
Positive 	 2.0 Tamil Movie | bgm
Positive 	 sema ultimate trailer . i m so so exited.
Positive 	 Intha yr Diwali inum mudiyala Nov 29@diwali
Positive 	 Ayyo,🤗🤗🤗🤗🤗 eppo vara poguthu konjam quick ah sollungaiyya thalaiva iam waiting for 2.0
not-Tamil 	 Жду этот фильм только из-за Акшая, интересно посмотреть на него в такой необычной роли
Mixed_feelings 	 Open bob and show vagene pls
not-Tamil 	 Kal 3 packet noodles khayi thi BC tab bhi isse kam tatti kari aaj
Positive 	 1 week gone still 11million views only
Negative 	 rajiniye oru nathari paya avana ivalo bildop panra neenga adhukku mela
Positive 	 #Sl #boys  channel
Positive 	 Shankar sir make our Indian movie proud...
Positive 	 2.o better  in Tamil cinima
unknown_state 	 sri lankan website , ..plz subscribe
Negative 	 1:55 aduthan ella pakkamum thuppaki irukku la appram edukku sutti sutti sudureenga
Positive 	 Super film no doubt jai jai rajnikanth all enthiran haters
Mixed_feelings 	 Intha pride Indian movie trailer ku 34k dislikes vanthathu epdi da ipdi intha trailer Ungaluku dislike panna thonichi
Mixed_feelings 	 super trailer rei adhu radhiya iruka movie epadi irukum....
unknown_state 	 10,7 Mio Aufrufe 400 Tsd. Likes 22,7 Tsd. Kommentare  #2Point0Trailer
Mixed_feelings 	 Only 10m views and 399k likes
Negative 	 Rajini waste but Sankar mass director
unknown_state 	 Bit like Avengers Age of Ultron
Positive 	 1st day 1st show poravanga like potuttu ponga
Positive 	 Deepavali nov6 but engalukku nov29 dha deepawali
Positive 	 i took multiple views to put one like.
Negative 	 WHO THE MOTHER FUCKERS DISLIKE THIS VIDEO
Positive 	 Akki toh zero h sir Rajni k samne
Positive 	 This movie is very very super sankar sir
Positive 	 love you akshay sir and Rajnikant sir
Positive 	 Shankar mass grand great super star rajinikanth great
Mixed_feelings 	 Who else are here after Sarkar movie?
Positive 	 Appo Kabalieee... Na Nerupuda  Eppo robot na chitti 2.O version
Positive 	 Kujay Kunjikal...already 3 Days Still Trending in Malaysia
Positive 	 Tik tik tik trailer idhavade superaa irukku....
Positive 	 1st Indian movie made like a Hollywood movie...
not-Tamil 	 Akshy Kumar hahaha App ko to avzanzar ma cam karna chaya
Positive 	 Kasta pattu edutha padatha sariya  poganumana entha promotion pathathu ennum nalla promotion pannunga...
Positive 	 Promotion sun pictures maathiri pannunga sir appathan ellarukum reach aagum
Negative 	 Mokka music ever,,,Indha madhri music lam hj aadi kaalathulayae kuduthutaaru
unknown_state 	 SARKAR FDFS Leaks SARKAR TEAM
Negative 	 News 7 porampoku idha sarkar kuda compare pandran.  Sarkar vera level .2.0 vera level
Negative 	 Dislike podrathuku avolo mokka illayea .. dislike kena punda
Positive 	 400K likes and 10M views soon
Mixed_feelings 	 1:12 thank me later. Goosebumbs 3d :)))))))))) like
Mixed_feelings 	 Isaac Asimov peranda.. Sundakka size suuranda..
Positive 	 800k likes varavareku nanu thungamatte nenaikiravage like podunge
Positive 	 Thalaaa  u r  great
Positive 	 Saaho teaser sethu pochoo rendu naala 12M ley erukku
Negative 	 ALWAYS KINGGG OF YOU TUBE,evanum mothanumnu nenachalum avanukku Manda bathirammm
Positive 	 Dislike potavan ellam sam anderson fans.....
Positive 	 Neraya... Neraya.... Neraya....  Pothum THALA...  MAASSKAARAN..... ENGA THALA....
Positive 	 king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala
Positive 	 Ajithku aprm support pannalam
Mixed_feelings 	 Thala thaanda eppavumay mass meethi ellaarum waste
Positive 	 madurakara angaali pangaali ellaam oru like podunga
Positive 	 Thala thaan eppavume ennudaya role maadal
Positive 	 nkp trailer ah 500 thadavaiku male parthavanga oru like podunga
Positive 	 Why likes go slow thala bloods.... 1M likes varuma
Positive 	 Eppaa dai unmaiyna courtukku veeduma alainjavanttea poi kealunga judge munnadi eppadi pesuvanganndu therium
Negative 	 No. 1 trending laye Romba nal irundha likes adhigama varum so Pangalingala adichi thookalamaa ‍‍‍‍
Positive 	 Come on thala fans mudinja innum moonu naal ku no1 trending la vainga come on
Positive 	 Trailer link ah  Therinjavanga ellarukum share pannunga fans
Positive 	 Comments section la irrukura angali pangali ellam like pottutu ponga
Positive 	 Thala look sema mass Vera level
Positive 	 vaara ella padathukkum naanga yarunnu kaattavenum so ellarum like and command niraya niraya pannuga... views pothathu...
Positive 	 1m likes varumnu solravagga like here
Positive 	 Idhu amithab hindi remake in tamil
Positive 	 Thala   Thala  Thala
Positive 	 Thala yoda last dialog sema mass Vera level  Thala always great
Positive 	 ithu tamil nadu ella ithu enga thala nadu daa
Positive 	 Thala naa Mass  Thala naa Class
Positive 	 Movie Tamil memang best ...terbaik Ajith
Positive 	 Thala pola varuma  Thala eppavume mass Vera level
Positive 	 Thala entry Epdi irukkumnu comment pannunga thala rathangale
Positive 	 Baground music  Vera level Seat end la ukanthu pakura padam marana waiting thala
Positive 	 757 k likes pangalinga adichi thookalamaa ‍‍‍‍
Positive 	 Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala
Positive 	 FATHERS DAY SPECIAL Paarungu.. awareness share pannungu
Positive 	 Na daily 10 times ku Mela intha trailer pakuran.last 3 days
Positive 	 last 3days  trending no 1
Positive 	 756 k likes reached aairuku pangalingala adichi thookalamaa ‍‍‍‍‍‍‍‍
Positive 	 Luv Uuuuuu ThalaaaaaaaaaaaaaaSouth Indian Ruling lion AJITHKUMAR 🤙🤙🤙🤘 Haters
Negative 	 Anil Kunjunga Romba kadharranga  Idharku ore Theervu Arali vedhaya sappuradhu dhan .
not-Tamil 	 Stuff ki us s jo of do o bg dost isi yeh gi jeux
Positive 	 Thala  u r beauty
Positive 	 Sundar Ramasamy fans lam thalli poi veladunga. Thevayillama katharama unga actorku support panni jeika vainga
Positive 	 TRENDING  number 1 Thala da
Negative 	 Anil Kunjunga Romba romba romba paaaaaaaaaaaavam Wooooooooooooo
Positive 	 make it hit 1m likes come on guysss
Negative 	 Nallave ella uinga movie ajith sir
Positive 	 Thalayoda ner konda paarvai semma masss
Positive 	 Viswasathukku irundha verithanan indha padathukku fans kitta illa
Positive 	 Ennda three days aaidichu 1million likes innum varala
Positive 	 Yuvan bgm mass thala Vera leval
Positive 	 Thala naraya naraya naraya narayaa .....I love you
Positive 	 Thala mass mass mass mass mass
Positive 	 king of kollywood Thala Thala Thala.
Positive 	 Vera level thala.. u1 bgm eppavum pola masd
Positive 	 Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala
Positive 	 Wow thalaiyoda eyes oru idathla kooda, oru chinna asaivu kooda illa. Sema sharp
Positive 	 Trending no 1 Since 2days in sri lanka
Positive 	 ella thala fans um oru like podunga
Positive 	 Eanna sila times sub title varuthu sila time valla
Positive 	 Ajith  Thalaiyin NKP vasul 1000c tamlan sarithiram
Mixed_feelings 	 Vijay vs rajani surya vs vikram dhanush vs vijay sethupathi Vishal vs simbhu thala vs lwarance
Positive 	 Thala rasigana irukara gethu Vera yarukum kidaiyathu lawyer performance super thalaaaaaaaaaaaaaaaaaaaaaaaa
Positive 	 Appapo vanthu thalaya paathutu comment panravanga like pannunga.....
Positive 	 Make it 1 million likes friends
Positive 	 Climax la judge kathiyeh heart attack shethuduvaaraah
Positive 	 August 10 kaga yaru ellam wait panriga like pannuga
Positive 	 Inum 1m likes  kuda varala  🤣🤣
Positive 	 Daily morning 10 times minimum pakuravanga like me
Positive 	 Podu podu podu pottu taakku  Kandippa movie uthikkum
Positive 	 Bgm u1 rocks  Thala always
Positive 	 Pink movie remake Nice movie nice trailer
Positive 	 Cmt fst we need 100k cmtsssssssss
Negative 	 Singa thoda mudi narijita kade bayapitada
Negative 	 Singa thoda mudi narajita ade singa illane aidada
Positive 	 Thala and we ( thala fans) right now  Naanga thappu pandravanga illa Thappa thatti kekuruvanga
Positive 	 Thala neenga Trending no 1 laye thangiteengala...
Positive 	 Trailer vera level screen presence super mass
Positive 	 Innum trading no 1 thala ne velra leval
Positive 	 EPO dhan 1m reach panradhu quick
Positive 	 Sire kolaaaaa maasu!!!!!!!! Thala vera level acting!!!!!!
Positive 	 Nee yaaravenalum iru evanavennaalum iru ** THALA kitta thaiyae iru
Mixed_feelings 	 Unga Thala avalovadhan ore per ethana comments podaringa vekkamailla
Positive 	 Remake???     PINK
Positive 	 250k likes to go.....Yaralam waiting 🥰
Positive 	 What did you say....? THALA VERITHANAM
Positive 	 Oruthar Mela viswasam katradhukaga ennoruthara yen asiga paduthuriga
Positive 	 All thala fans comments pannunga..100k comments varanum
Positive 	 Vitrakudathu 1 st place athula record pannuvom
Positive 	 Like podu ga pa 1M varevendama
Positive 	 is it pink movie dubbed ?
Positive 	 Thalaaaaaa nee vaa thaaaalaaa senjivitruvom.......
Positive 	 Vera Vera Vera leavel ThaLa...
Positive 	 Dailog keka keka... Veri agudu...., can't wait to watch THALA on big screen...
Positive 	 Thala semaya irukinga... Last scene dialogue superb.... Music Yuvan rocking......
Positive 	 I think movie Vera levella irukum
Positive 	 751k likes reached aairuku pangalingala adichi thookalamaa
Positive 	 Why 62k did like bull shits
Mixed_feelings 	 Tamil acters kerala star value 1  vijay 2  surya 3 rajani 4 vikram 5 dhanush 6 vijay sethupathi Then only ajith
Positive 	 thalabathi fan da ana thala da
Positive 	 1m like varanum .... Like pannathavanga pannunga
Negative 	 Kaatu mokka ya iruku.. utter flop confirm
Negative 	 Petta- likes BROKED KAL ODAACHACHU INIMAE HEAD thaan ore soruvu
Positive 	 l like rajini on screen vera leve,l petta pataya kelapum pongal ku nee tan king..... old rajini is back...
Mixed_feelings 	 Intha agela ippadi oruththarala nadikka mudiyumna sollunga saththiyama na unga fan aana but i'am rajini uyir da
Positive 	 real rajini movie ..tis s want we want
not-Tamil 	 kannadalli dub madi please Rajni Fans from Karnataka
Positive 	 Mass.. Thalaivar ah nijama chinna paiyana pakra maari eruku. Athe style athe RAJINI
Positive 	 Thooku oru bhooku...nii va thalaivaa,pongal nambalathu thaa
Positive 	 Thalaiva superstar Rajinikanth number one mass Hero
unknown_state 	 Petta 607k likes viswasam 608k likes
unknown_state 	 adichu under wear oda  oda vitralama
unknown_state 	 Viswasam traileraa pathutu petta trailer pakka vanthavanga like  podu
unknown_state 	 Viswasam trailer pathuttu ithu vanthu dislike pottavanga like are...
unknown_state 	 Viswasam trailer pathuttu inga vanthavuga Like poduga
Mixed_feelings 	 Rajini periyapa ninga yeppavume mass tha
unknown_state 	 Nera Viswasam trailer pathutu yar lam Inga varinga
unknown_state 	 Viswasam trailer parthuddu inka vanthavan maddum like podu
Positive 	 Pakka thana pora indha Kali Yoda attata.
Negative 	 viswasam trailer ippo dhaan paarthaen. siva underwearoada oada poaradhu urudhi...
Positive 	 Petta #1 Trending on Singapore :)
Negative 	 Simran Trisha pattilam iruntha Padam nalla irukkuma
Mixed_feelings 	 Rajini u r finished.... after visvasam trailer
unknown_state 	 Yarellam Viswasam trailer pathu2 inga varinga..
unknown_state 	 Yaarlam viswasam trailer paathittu vandhavanga?? Like podunga..
unknown_state 	 Who's here after visvasam trailer ?
unknown_state 	 After viswasam trailer.....  Hit like
Positive 	 Super ... sema bgm by anirudh
unknown_state 	 Viswasam trailer pathutu varangalemma like potu po
unknown_state 	 Viswasam trailer paathutu Inka vanthavanga like panuga
Negative 	 Evanukkathu pondatti pullanu family sentiment irunta vishwasam pakka poiru mavane thalaivar kola kandula irukaru
Positive 	 Paaka thaane pora intha kaaliyude aattathe, pongal will be petta parak, love from kerala
Positive 	 Last dancee semeee... Face lehh oru magizhchi ehh vare vechitingeee thalaivaaa
Mixed_feelings 	 Adichi thookalaama  Thalaivarr : adichi under veroda oda vitruven paathuko
Positive 	 Aiyo sami antha dance movement kevalam da sami... Sirupa adakka mudiala🤣🤣🤣
Mixed_feelings 	 Viswasam trailor ku .......Petta evlovooooo better...........
Mixed_feelings 	 petta trailer ku pakkathule viswaasam trailer varathu thalaivar vera level pongaluku parak
unknown_state 	 VISWASAM trailer paathuttu Inga vanthavanga lam yaaru pa??
unknown_state 	 Viswasam Trailer Pathutu Vanthavanga Like Podunga!!...
unknown_state 	 Vishvasam trailer pathutu thirumba Itha pakuravanga like pannunga
Mixed_feelings 	 Petta,viswasama underwear oda odda vida pogudu
unknown_state 	 Angeee ellam viswasam trailer parthaaa nambee ingee petta parpomm...
Positive 	 600 k like marana mass ah
Positive 	 600K likes wow.. Next target 700k likes..
Positive 	 Thalaivar Pakka Mass Full Thalaivarism MARANAMASS Trailer
Positive 	 Pure Rajinism....! Thalaivar Rocks... # PettaPaarak
Positive 	 Pakka thane pore indha KAALI ude aattatheThalaivar roks
Positive 	 dei adchi underwareoda oda uthuruva  manam pona thirumbi varathu parthuko. SEMMA MASS NA PUNCH DIALOGUE
unknown_state 	 0:37  Reminds me of Apoorva Raagangal 1⃣9⃣7⃣5⃣
Negative 	 70 % looks like Rohit shettys  Dilwale.
Positive 	 Rajini mass my age18 rajini fan
unknown_state 	 Rajini sir fans like kottandi super hit avuthundi
Positive 	 karthick subburaj anne .... intha padam vetri adaya unagalukku ennudaya valthukkal...
Mixed_feelings 	 Superstar nu sollikitu matha actors lam vanturathinga, Thalaivar fans kola kaandu la irukom kollama vida maatom
Positive 	 Vandhuten nu sollu thirumbi vandhutennu adhe styleoda thirumbi vandhuten nu sollu
Positive 	 Massukku porundhura patthu poruthamum unkittadha iruku. ungakitta mattomdha iruku thalaivan DA...
Negative 	 Eppa yenna porom...sugar mathara poda porom..
Positive 	 En thalaivanukku Mattum markandeyan varam kidachu iruntha sema
Mixed_feelings 	 2:08 ivarukku vayasu 60+ ah illa 30+ ah???
Positive 	 rajini mass my age 18 na rajini fan da
Positive 	 Only one star super star rajini star
Positive 	 Semma.... Thalaivar in retro style !
Positive 	 Thalaivaa  Trending 1st in Singapore!!
unknown_state 	 Ipavum repeat laiyae dan irukku
unknown_state 	 Viswasam teaser Ku aprm yarllam inga vanteenga?
Positive 	 maranam mass maranam  vayasanalum onga style apdeya than erukku adha yaralayum onum panna mudeyadhu
Positive 	 Semma super star sister Thalapathy namaka
Positive 	 thalaiva semma mass trailere summa adirudula thaliva
not-Tamil 	 E maranamass trailer enthu kondu etu vare trending il vannilla 🤔🤔
Mixed_feelings 	 Yen trending la varala...knjm enanu parunga da
Negative 	 Enda potti pottu dislike panreenga haters
Negative 	 Enakku bgm pudikkala waste bgm old bgm
Negative 	 Rajini sir looks like power star Pawan Kalyan in love scenes
Positive 	 Maranam...massu maranam.toughu tharanaum...adhuku avan dhaan porandhu varum....semma thalaivaa
Positive 	 Kaali attam arambam... allu silra ela odidu...
Mixed_feelings 	 enga ajith munnadi evan oru mairum pudunga mudiatha
Positive 	 @1:55 thirumba thirumba kekanum pola irukku
not-Tamil 	 betavaku atharavu sonna entha pottaioda padam petta
Negative 	 Rajini sir ku oru paiyan irundurndha nalla irundurku rendume mutta ponunge
Positive 	 OMG.... Thalaivar vera level..... Love you thalaiva...
Positive 	 Pakkathana poringa pongal annaikku namma kaaliyoda attatha
Negative 	 entha kannada naiyai ennum tamilnattil erunthu anupalaiya?
Mixed_feelings 	 Konjam odhingiru... Oodi padhingiru varrathu thalaivaru...PettaParaak
Negative 	 46k haters  yevlo Nala irundha kooda verukuravanga irukadha seiranga
Negative 	 Ennada ithu innum trending la varavae illa tralier
Positive 	 Petta and viswasam rendu movieum success aaga vaalthukal
Mixed_feelings 	 Vijay fansum rajini fansum onnu sentha petta bb visvasam out
Positive 	 6 la irunthu 60 vara RAJINI RAJIAYAM.....
Positive 	 Pure mass...semmaaa maassssss...Marana massss...vaaa Thalaivaaaaaa.... waiting for Petta and Viswasam.....verithanamaaa
Positive 	 Indha manushanukku vayasu adhigam aagamatingudhu varusa varusam koranjitey pogudhu what a attitude thalaivaaaaaaaaaa
Positive 	 Pakathana pora pongalugu inntha kalliyoda attatha
Mixed_feelings 	 Rajini the maass.. worst music da Anirudh.. Vera level la iruknanum super star Ku lam
Positive 	 Ivaruku Intha vaisula agathu pola... Omg wattta a man thalivaaaaaaa
Positive 	 Vera Vera Vera level. Thalaivar maaaassss
Positive 	 For Rajani fans by Rajni fans. Batcha feeling varuthu pa. Getup setup attagasam.
unknown_state 	 Yarellam 10 vatikku mele trailer pathingalo Avunge like podunge
Positive 	 Yea, rajni sir movie naa ipidi irukhenom..
Positive 	 Naan rajini fan illa.. But can't wait. Our old vintage rajini
unknown_state 	 Ippa Enna panna poram... Sweet saapda poram
unknown_state 	 Kola gaandula irruke mavane kollama vida maatan
Positive 	 Na oru 1000 times mela pathu irukn
Mixed_feelings 	 TN ELECTION RESULTS IN PETTA TRAILER ITSELF. RAJINI LIKES - 592K OPPOSITION LIKES-46K
Positive 	 Vijai seathupathi kaaga naa padam paaka povaa!!!!!!
Positive 	 Vijaysethupathi  ah yena da pani vechu irukeeinga !!!
Positive 	 super star na summava maranamass da
Positive 	 Sirapana Tharamana Sambhavam by Karthik Subburaj
Positive 	 Thalaiva va thalaiva va thalaiva.annannkk jai
Positive 	 Maaama  pongal  illa  Diwali  ddd
Positive 	 Thalaivaaaa Vera Level   full Masssssssss
Negative 	 vivasam laa avlotha ippo petta tha mass
Positive 	 Mass semmayya iruggu super star style mass than
Positive 	 Romba Romba ketta payan sir intha Kalli
Positive 	 Vera leval thalaivaa 2019 pongal blockbuster
Positive 	 iyoo... therikuthu....enna style ah irukaru ya.. thalaivar uhu..
Mixed_feelings 	 Oru unmaiya othukitu than aaganum.. Vijay sethupathy lam screen la theriyave ila.. Thalaivar elarayum ninnu saaptutaaru..
Positive 	 Padam super duper hit nu soldravanga yaaraavathu irrukingalaa paah...??? 🤗🤗🤗
Positive 	 Enaku kabaali trailer pakra madhiriye iruku🤔🤔🤔🤔
unknown_state 	 Ungalku iNum vayasakala ra dialouge ah pesiye 20 varusam aachu  Inum ungalku vayasu aagala super star rajini star  Sema style
Positive 	 ennanga da 11 manikku viduren nu sollitu 10.30 ku vitteenga. ...irunthaalum vera level.. verithanam.. superstar fans like here
Positive 	 Tharrrruuuu maaaarrrrruuuuu luv  u thalaivaaaaaaa....
Positive 	 Petta parak... thalaivaaaaaaaaa we love you
Positive 	 Illaya thalaimuraiku vazhividunga ranini take rest
Mixed_feelings 	 Idduke ₹500 va tarlam... kolla mass
Positive 	 Thalaivar pakka mass :) Thalaivar padam na ipdi thaan irukkanum, trailer therikudhu....
Positive 	 Thalaivar vera level!!! karthik subbaraj yenagaya iruntha ivalo naala.... 02:00 Kola gaandla irukkam mavaney kollama vidda mataen insaneeeee :P
Positive 	 Palaya thalaivara pakra maari irukunu solravanga mattum like pannunga
Positive 	 Sirappana tharamana sampavankalai inimedha pakka pora
Positive 	 Rajni/Vj sethu/sasi kumar/Nawazuddin Combo rajni in BEARD ...NEXT LEVEL
Positive 	 Vijay fans like here for Thalaivar petta parrak
Positive 	 Epidi daa veakame illama unlike poduringa...  Padam blockbuster daa
Positive 	 SEMA, marana mass  trailer, THALAIVAR
Positive 	 Thalaiva nee vera level padam sema hit ...
Positive 	 Telugu Rajini Fans hit here
Positive 	 Vijay sethupathi ulla vandhu pottu pottunu podra scene 1.31 Maranama iruku
Positive 	 Thalaiva aaaaaaa final seen mine god
Positive 	 90s rajini fans ...... hit like
Negative 	 Viswasatha postponed pannuganga da
Positive 	 Vera level thalaivar tha eppavum mass
Negative 	 Maranakaaa kaaatu kattitanga ajith fans pongal release avumada kusuvasaa
Positive 	 Vijay sethupathi is always mass.... Avaru kaha vena poi pakalam.... Makkal selvan vijay sethupathi
Positive 	 Nawazuddin ah enna Da panni vachrukinga?
Positive 	 Petta pongal ...viswasam kelambu kelambu andhu pochu
Positive 	 Style Samrat  Super star   Petta the mass ippa ena panna porom sweet saptaporom vera level Thalaivaa...
Positive 	 OK but expectationa complete pannala. rajni vjs semma.
Positive 	 Pakka masss thalaiva Romantic scene ellam vera levela irukum pola
Positive 	 Kola verila irukuravanga like pannuga - Rajinjfied
Positive 	 Dey idhukku yenda dislike pandrinka . Trailer semma mass ah entertaining ah thanae irukku.. vaitthu yerichallin uccham da neenka
Positive 	 Sema hit daa..pakka than porum enta kaliyode stylee
Positive 	 Rajini sir different ta erukar sema ya erukuuu i m waiting....
Positive 	 Taramaana sambavam pongalukku irukku le
Positive 	 Yov 11 manikku trailer nu sollitu 10:30 ku vidriye  unna mathiri periya manushanukku ithan alaga
Positive 	 Super star is back...... Semaya irkeenga தலைவா....
Mixed_feelings 	 Pa sema masssssssssss love u thalaiva
Positive 	 Semma mass ahh iruku padatha release pannunga pa Wait panna mutiyaala
Positive 	 Nee vaa Thalaiva Inna adichukka aalu illa  I am rajinified u r back Thalaiva
Positive 	 Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.
Positive 	 Ithu petta pongal...paaka thaana pora intha kaali Oda aatatha...
Positive 	 Super star super star
Positive 	 Makkal selvan fans hit like here....
Positive 	 Paaka thaana pora intha Kaali oda aatatha
Positive 	 Ennaya 11am sollittu sikirama release pannitinga paravailla trailer marana mass
Positive 	 Vayasaanaalum style apdiye iruku ya ....wow sema
Positive 	 Nanga oruthan kittah matikittu irukom avan yeanatha pannah porano
Positive 	 Vayasu analum un alagum un stylum innum pola,  thalaivar
Negative 	 othinkirunka Da amais ilana adichu underwearoda oda vitruvom.... petta parak....
Positive 	 Maraaana masssss ,... Yappa innu Yevlo young ah iurkare .... Semmaa
Positive 	 vera level bhaa...1995 padam mathiri erukku unga getup
Positive 	 Hahaha back to 90s rajini sir... Waiting thalaivaaa
Positive 	 Tamil cinema unnaoda Petta thalaivaaa Evanum varamodiyathu
Positive 	 Naan vandhate solle tirungu vandhate yenne
Positive 	 Marana mass thalivaa we are waiting
Negative 	 Thalaiva back.....kola gandula irukan oth*** odiru
Positive 	 Irukku innaikku Meme creators kku nalla concept memes irukku
Positive 	 Super thalaiva super. Unna eppadi pathu ronba nalachi. Weldon karthik suppuraj and petta team
Positive 	 Evanavthu pongal ku varamari iruntha apdiye odidu Varathu Thalaivar.... Hope viswasam and petta as BLOCKBUSTER
Positive 	 Style ah iruken ah ...NATURALLY   KARTHIK BRO  SETHUKAL ..........
Positive 	 Poda deei viswasam marana waiting pongala papom
Positive 	 THALAIVAAAAA PLEASE KEEP DOING MOVIES! YOUR MASS IS UNMATCHABLE!
Positive 	 Paakaruthukku style aarukka???? Antha ponnukku kannu yengey..kundiyiley vechirikkeyaa
Mixed_feelings 	 Padam block buster ippovae unga dairy la ezhudhi vechikonga makalae
Mixed_feelings 	 Sooooooooooooooooooooooooooooooooooooooooo good. I didn't expect this
Positive 	 Idhu idhu idhu dhanda thalaivar padam...... Thalaivaaaaar forever... Thank you Karthik subburaj...
Positive 	 I love u THALIVA..... From kerala.. Waiting for marana MaSs pEtta....
Positive 	 Marana mass... stylish rajini sir... Sirappana movie'ya pongal annaiku parka porom..
Positive 	 winner winner chicken dinner ... next month 🤗
Positive 	 Thalaivar super   petta dialogue semma mass ah eruku thalaivaa🤙🤙
Positive 	 Thalaivaa vera level.i love u thalaivaa
Negative 	 10 timekku mela pathavangka like pannungka
Positive 	 Sariyana potti  pongalukkutha thalaya &thalaivara
Positive 	 Wow.... Thalaivar semma smart.... Palaya Rajinikanth... Semma
Positive 	 Ithu Trailer dha, innum main picture pakalaela.  Jan 10 therikka poguthu.
Positive 	 mee stail Avariki radu  sir  meeru supar star  no1 Hero
Positive 	 Pspk,Rajini sir and Vijay,VJS fan's Like Here??
Positive 	 tvaivaal aaaa aaaaaa vera level tvaivaal aaaa
Positive 	 Super star Da.....¿! Paakkathane pora. Intha kaaliyoda aaddaththa. Vijay sethubathy vera level.
Positive 	 Ayyoooooooooo Thalaivaaaa.. Love you Soooooooo much..
Positive 	 Thalaiver mass super  star rajini
Positive 	 That Connection between maari 2 and petta , in maari 2 dhanush son named kali !!
Positive 	 Yow karthi subburaj yenna ya senju vachurukka.... thalaivaaaaaa...... Petta paraak
Positive 	 petta trailer keta rajni nadicha ellam padam mashup pani irukinga
Negative 	 Dislike pottavan lam kaandu pudicha kannutheriyatha  pu*****ga..
Positive 	 2nd day 2nd show confirm marana mass katala
unknown_state 	 Maranam mass maranam athuku avan taa poranthu varanum
Positive 	 Sasikumar thalaiva sema my favorite hero
not-Tamil 	 Rajni kant ka aur super duper flop film hogi ye.
not-Tamil 	 Marana massss.........  Thalaivarr  pwoli..... Katta waiting....
Mixed_feelings 	 caller tune la kola gaandla irukkaen mavana kollaama vidamaattaennu dialogue vechaa phone panravan reaction eppadi irukkum
unknown_state 	 You India you lose, t series strikes again
Positive 	 ayyoooo alagu alaguuuuu thalaivaaaa love uuuuuuuu sema handsome thalaivaaa
Positive 	 Iam Vijay fan but ragini kalakaporaru
Positive 	 Rajni sir is getting younger day by day ....hahha thalivan..
Positive 	 Awesome  Rajni na summa va
Positive 	 Super star ah eapdi kamikanumnu karthiku therinjurku vera legal thalaivar
Negative 	 Pods Thaathaa  Mokkaiyaa Irukku
Positive 	 thalaivar varum bodhu mezhuguvarthi anajadha paatheengalaa stand. irattai mezhuguvarthi simonukku tharamaana sambavam
Mixed_feelings 	 caller tune la kola gaandla irukkaen mavana kollaama vidamaattaennu dialogue vechaa phone panravan reaction eppadi irukkum
